label,content
anger,如果南中国海的石油开采能让国内油价降低一分钱我就支持维护南海主权如果能降低一毛我愿意多缴税做军费如果降低一块我愿意参军如果只是维护三大石油集团的利益跟我有毛关系呢那些像打了鸡血一样的愤青你坐飞机他们会给你燃油附加费打八折吗
anger,贵州人大学副教授因举报贪污腐败而家破人亡流落街头因多次寻求司法帮助未果现辗转于各地希望通过广大有善之人的帮助能够异地审理此案件请大家随手转发因为您的善举或许正无意中成就一份正义之前的微博在转发4771次后被和谐新浪编辑如果你们再和谐下一个被迫害的就是你家人
anger,如果这都不叫相配你告诉什么叫做爱你就要变成你什么叫做夫妻相啊
anger,尼玛现在回来各种好言好语是要闹哪样还尼玛骂不还口的你是死人阿尼玛老子不想回忆什么狗屁过去比不了我当初还尼玛能进了冷宫尼玛告诉你老子冷宫呆惯了正宫不适合我
anger,好不容易出门了又堵车我靠贵阳的破交通和阿哲吃午饭然后和妞妞去买点夏天必需品给老妈买个新钱包给同桌买生日礼物好吧我又要去脱钱了
anger,我真的不买房子别再打给我了我对外地的房子也没兴趣别再打给我了还有保险投资股票以及各种课程我真的不认识你别再打给我了每次换不同的号码打过来你们太有心机了
anger,与老娘逛街路上被电视台抓差做节目答对一题奖一百两题两百三题四百以此类推第五题七千轻松答到第五题胜利在望主持人见势不妙居然抛出超变态难题哼哼我虽败尤荣请听题古代婚俗六礼顺序是什么尼玛我又不娶汉朝姑娘
anger,中国之法弊在弹性太大同样触法刑期相差几年罚金相差数十倍穷人用重典权贵能赦免此致权贵之嚣张跋扈平穷之涂炭而怨声载道故众人终拥重刑重刑之除非重刑其本身乃法律平等
anger,CCTV2又开始了关于征收房产税的探讨多么熟悉的一套运作程序又是大谈国外香港经验大谈若干年前其他国家就开始征收就是他妈的闭口不谈别的国家是怎么用这些钱完善教育改善民生的所有人都清楚这就是绑架还要找出些可笑的理由说这些都是为你们大家好太恶心了
anger,我本来不是很记仇的人但是从今天开始我要做个记仇的人记到你们遭报应的那一天记到我看到你们死的那一天记到我死的那一天我要做尽诅咒之事损阴德也好不除了你们这些所谓的孽障我誓不为人
anger,你个混蛋金希澈老子的游戏今天凌晨就结束了你现在才讲你就是混蛋啊我靠同志们我们游戏的截止是209的晚上24啊结果210我们刷完面瘫那祖宗就高兴了结果就讲了既然这样别怪我报复
anger,一个男人变为一个好丈夫也许只需要做好三件事1能挣钱给老婆买美尔挺瘦腿袜2帮她去买3说好看人都5折包邮了人都买二送一了人都瘦了3cm了你还不给我买你配当丈夫么
anger,被震撼到身上微微发冷一个叫玉蝴蝶的人3月7日在天涯发帖预测到9日的日本北方地震时间地点震级都相差无几之前他在博客中还准确预测了上月22日的新西兰地震大家去搜他的新浪博客之前还有好多请核对我的粉丝太少了
anger,还有一半才完工却没水钻的妹子最苦逼室友友情赞助的钻钻没有施家的blingbling眼睛要瞎腰要断还不能一次完工啊尼玛我也伤不起啊烦躁我都躁动了有没有伤不起
anger,要交给金希澈的东西就自个儿给金希澈别给了别人又或者被别人捡到了没帮你递给金希澈就喊委屈叫冤枉李晟敏是你什么人啊他跟你很熟啊还是他副职是快递小哥要帮你把东西给金希澈十五块钱的包李晟敏真是稀罕死了才硬从你手里抢过去还违背您的意愿就是不给金希澈是伐
anger,歌谣界的KING在济州岛拍伪偶像剧歌谣界的King在理发店顺毛歌谣界的KING在陪弟弟拍戏那是什么玩意儿我靠耽误我看综艺啊
anger,在澳洲某机场拍到令伦震惊和气愤的是没有别的语种只用中文看到这个告示牌国人是不是也该反思
anger,淘宝假货太多了去年买的一对LP的护指手套没怎么用坏了MCDAVID的护腕也就没怎么用样子一塌糊涂了当初买的时候因为找不到专卖店都是找淘宝上信誉值很高店开了很久看着像长期专业卖这些品牌的店甚至于一些号称代理的店现在回想起来全D是假货
anger,上世纪二三十年代因英国欠美国90亿美元债务美国一度准备向英国发动战争现在美国欠中国万亿美元债务你们说该怎么办
anger,朴特和金希澈去人气歌谣给fx助兴有没有金希澈红衣服有没有泥码我却在温哥华酒店里面苦逼的掉线掉线掉线掉线整理图整理图整理图连个修图的时间都没有
anger,武汉的士真缺乏职业道德一直以为长沙的士差武汉更差还不如长沙的黑的士非常嚣张的拒载好不容易打辆车到了黄鹤楼被收一块五的燃油费居然还没票彻底无语
anger,为什么工资月月都会算错本来就没几个子儿还要月月盯着是否少发钱我觉得太累了这种工作谁爱干谁干吧没劲
anger,一个个下班不走在那边聊天有什么好聊的啊华泰给你们发加班工资啊
anger,如今社会真黑暗一个六旬老人在东门太阳广场下捡水瓶为生城管看到后就过去赶他走他只是捡个瓶子而已地上少一个瓶子不是更环保吗竟然还要没收老伯的废品袋你没收能得到什么老伯此时此刻哭了我心酸了他上了警车我冒着风险拍了张照希望能帮老伯取回公道我只想说一句你只是个城管
anger,悉闻哈尔滨八位律师被打甚至造成女律师流产愤怒难息作为曾被法官殴打的律师深知法官殴打律师的意义绝不仅是律师被打而是对律师职业的极端漠视换而言之就是殴打法治诸位如此行径怎可姑息怎可姑息声援受害律师的同时对肇事法官予以强烈谴责
anger,这只是一位母亲一位农民一位共和国的女公民她只是为了卖瓜或许她的孩子正等着瓜钱上学或许她的父母老人正等着瓜钱看病或许她的家里正等着瓜钱买柴米油盐或许她的娃正等着瓜钱买一件小小的新衣服如果你觉得她的地方不合适你们把她赶走就得了何必要下这样的狠手呢我恨
anger,陈胖今天唱裙下之臣的时候HIGH了抓个女粉丝的手就亲下去了真想抡起荧光棒敲他脑袋
anger,一直觉得用苹果的人犯贱我也是其中一个今天联系苹果客服更加让我感觉的自己咋就这么贱骨头呢打400电话我这边说话那边一分钟后才能做出个反应什么客服电话啊太垃圾了去了三里屯更是如此里面还那么多贱骨头体验这么大的品牌客服怎么就做不好呢系统的单线操作是在让我很难接受
anger,我靠今天车怎么回事我走都走到站啦还不来这条路灰还能更迷朦点么果然水来土淹啊洒再多水都抵不过那巨大一车土啊还千军万马的
anger,操打人的外国人手持铁棍打一个中国男孩打完跑进去愤怒的中国人把玻璃砸了听说打人者是此苹果店的老板
anger,卧槽尼玛的临时工临时工打死临时工是不是不用判刑啊我靠现在到底想怎么样老百姓可是多过宫误猿的妈的锄头反铲拍你个含家产雪铁龙
anger,我要运国外奶粉到中国每天看到这些假奶粉新闻真的好心痛看到中国人为了赚钱忍心牺牲无数幼小孩子的性命良心何在
anger,周杰伦太帅啦跟谢霆锋比还差太多恩周杰伦现在轮廓好清晰啊感觉是不是有做微整形啊太不重视大连站了都没唱几首尽是嘉宾好多想听的都没唱
anger,我可怜的车呀在小区外停放昨夜被猪驴王八都生不出的贱贼砸了偷了我的东西不得好死妈的这是贱贼送我的生日礼物靠非逼我说粗话
anger,小明学习成绩不好厌学请你说一句俗语或成语来鼓励他面对这道语文试题我三年级的外甥给出的答案是三百六十行行行出状元结果被老师狠狠打了个大叉小男孩委屈地问妈妈这回答为何是错的他妈妈回答不出我也是你们说呢
anger,有一位加v的媒体大哥发帖恐吓说电影拍的不好就要封杀我我想问电影的好坏谁定有干草片治咳嗽立特灵治拉稀的标准吗但我非常欣赏您这种当婊子不立牌坊的态度公然撕下弱势的面具露出强势的嘴脸帖子我就不转了免得说我持弱凌强我候着您单练还是群伙一起上我都奉陪夸你胖还真喘起来了您
anger,噗仙三那像我这种直接在文件上动动手脚把所有动画都弄出来的难道就是把锅底直接吃了么
anger,他们总是在说只要等待合适的人就会出现我想说的是都等这么多年了你好歹给我回个话啊是堵车了迷路了还是死了
anger,胜利路李家巷这边那家宠物店大家千万不要去黑心店我的狗狗在这边寄养了八天瘦了四斤多我来接的时候被关在一个没水没粮的笼子里身上又脏又瘦妈的气死我了
anger,说真的我不想骂人不想暴粗可是某些人要么你闭嘴要么请你去死马苏家倒了亚麻车祸了散布这种谣言的人要不就没被周公操完要不就想死又死不了存心找死我们家的得罪你什么了要这样诅咒他们我们又得罪你什么了要这样吓我们很好玩么告诉你我们家的绝对全部洪福齐天平安无事
anger,分享图片9月2日下午1700左右田村派出所和田村路城管分队强行将我爱人扭上不是警车的汽车里将其胳膊扭伤双臂肿粗田村派出所警官讲我爱人现被传唤没有任何手续非法传唤15个小时家里人不让见面请国内外关心人权问题的记者和媒体给与关注自谋职业养家何罪之有十多个大男人对一个女人强行拉扯
anger,好吧这是第几次了昨天夜里还大雨倾盆的我今天一早起床上班尼玛又出太阳了在横店也是我30号准备去清明上河图外景尼玛一早起来横店下雨小高衣服我就不带了到了景区门口尼玛太阳当空照我擦在景区里我坐在亭子里休息天阴了雨飘起来了尼玛我刚走出亭子太阳又出来了老天你在耍我么
anger,这就是东航办事效率上班时间就这几个人办公刘绍勇董事长您是怎么管理的老子买东航的股票坐东航的飞机就享受这样的服务
anger,朋友带我去参加一家公司的宴会该公司老板原是某副省长的秘书宴会上见到两位离退休N年的副省长和他们的带来的小孩子出门发现离退休的两位副省长依旧有奥迪专车司机而且车牌号杠杠的据说跟医疗和保健待遇相比专车只是毛毛雨现在我越来越痛恨堵车了
anger,培养一个大学生不容易怎么能说毙就毙民族品牌做到行业老大容易吗怎就不能给个机会这孩子曾经品学兼优得奖不少这是一时糊涂瘦肉精是行业潜规则又不是双汇一家所为放这孩子一马他一定会重新做人今后双汇肯定不会加瘦肉精了留着它就有放心肉吃了药家鑫和双汇孪生乎
anger,NND楼下那个畜生老把车停我家车库门口最近我的车一直停着此物懊恼了关我家水表划我的车甚至把车停到车库和我的车中间的空地老娘陪它玩今天开始畜生停一次我就半夜爬起叫它起床挪一次车它妈没教它只好我辛苦点教教它我突然觉得我太爱楼下的门铃了声音可大了
anger,尼玛的老纸不淡定就是要治愈治愈看清楚这个才是真正的西皮真爱允在真爱睁大眼睛
anger,啊啊啊锦户亮去看少女时代演唱会了我恨他我今天还跟kasumi在那附近晃了很久
anger,麻痹你的嘴脸能再肮脏一点嘛你他妈想在路过红吗你他妈想这样去圈饭吗有时候话还是得掂量点说别顶着A的头像乱说话劳资肯定不承认你他妈是A的饭你饭不起A没资格饭A
anger,一些混账专家和律师在替药家鑫辩护其冷血思维到了无以复加的地步我想象不出人类历史上还有什么比这个谋杀更恶劣的如果连这样凶残的行为都不处于死刑的话死刑到底应该留给谁呢从某种意义上说药家鑫比屠童的郑明生更可怕因为他们更强势更飞扬跋扈更目空一切而且更有颠倒是非的能力
anger,我真他妈服了你们这帮老头老太太你们又不上班天天跟我们这帮上班上学的抢什么啊就不能错开高峰么操
anger,我诅咒这个药家鑫我更诅咒在药家鑫案子中迟迟不肯宣判的法官们如此简单的案子搞这么复杂希望你们女的裙子被钉子挂住男的套套都有孔枕头下面藏老鼠马桶座上藏大便衣橱里藏人爱人背地偷人做饭盐放两遍拖鞋下面有图钉筷子上面有倒刺私车山地里抛锚电话满格时爆炸
anger,受不了工商银行官网的个人银行登陆和柜台输入的密码是不同的么怎么显示就是不对呢要死了我的工资啊
anger,你妈的死骑车红绿灯都看不懂吗撞了也不来看一下我草你祖宗的眼睛瞎掉了
anger,那个宣传安全三角区谣言的人活该被震死地震时看玛莎姐的妈妈怎么做地震的时候就是要躲到安全坚固的家具下面或者躲在承重墙的墙角以及卫生间这样空间比较小比较坚固的区域尽量把自己缩起来并且保护头部
anger,生气啊求达洋R51笼啊广西广东都没货其他地方又说太远了寄不了啊
anger,这狗血的编剧啊不过作为从第一季就开始追的人始终要追到底的就是怎么最近又停播了
anger,真的要征房产税了我可是租七十年没有真正的把土地卖给我另是不是交了房产税不没有强拆了
anger,紧急紧急紧急大家看一下这个图片是哪部电视剧或者电影里的片段怎么可以这样丑化我们的军人发动网友的力量肯定有人看过这部电影或者电视剧看过的赶快留言说一下实在太过分了简直让人发指
anger,我发誓从业多年深受其害从今天起凡是不参加试衣不参加排练的模特将永远不会出现在我的t台上做为一名职业模特不试衣不排练你还敢来演出算你胆大我保证在我这里今后不会再有这等待遇了希望客户和模特公司也要这样要求模特真正做到敬业职业专业
anger,今天我和姥姥姥爷在鸟巢附近的五洲酒店打车银建京bk6878不拉后来点头又准备拉后来看到了两位老人就又说不拉然后去啦拉了两个年轻的人姥爷八十三了站了半个小时了这算什么我和那个司机吵架了说他要拉就投诉他他还骂老人这个可恶的司机我一定人肉他投诉他
anger,我表现的非常明显我不会韩文啊干吗给我一堆韩文我要没有翻译器我还活不活了
anger,做为一位老师我认为是帮助教育学生发掘学生的潜力而不是你说的这孩子再怎么学就这水平了估计考专科都困难高一的学生还没分科还有2年的学习时间你竟然就下这种结论我相信即使是即将高考的我们我的老师也不会下这种结论
anger,我就知道我就知道加勒比海盗字幕完了指定还有一段戏我怎么就没熬过那六七分钟话说回来六七分钟也太长了吧
anger,这点儿竟然有人起床了这摔门声他妈的吓我一跳卖包子起这么早干嘛真是一群脑子有病的人
anger,在图书馆发现一个美女暗中观察多日后鼓足勇气准备向她表白突然冒出一个男人说他观察我好几天了汗说要给他个机会大家公平竞争靠竞争就竞争谁怕谁他却说他是同性恋喜欢的不是那个女孩而是我这个死同性恋你喜欢谁不行非得喜欢我本姑娘我长的就那么像男人么
anger,真是疯了富士x100的售价竟然高达一万元还是不可换头的Apsc要是fx估计这个价格还有些合理
anger,我说这怎么看怎么不对称是吧CXR这是要坑死爹啊这种做法真是太混蛋
anger,死南华示范为了你爆了多少粗口浪费了多少精力少打了多少球妈的还不放假这个时候讲得不是珍惜大学时光是讲假期
anger,我只看事实事实是你儿子把人家一个小BB的母亲撞了之后然后刺了八刀刺死什么样的父母养什么样的孩子你怎么还不检讨啊
anger,此刻我的眼神充满了怒火因为稿子写不出来身后墙上挂着把利剑我我我我恨不得砍几个人发泄下
anger,尼玛要加薪这个名字居然成了新良韦伯的禁忌词我刚才发的那条居然不声不响被山了按中国传统文化为尊者讳只有皇上和父亲的名字才是要避讳的那这位少爷是你主子呢还是亲爹呢
anger,为什么周六我还要上课坑爹啊
anger,买破产了8848买黄了易趣买的淘宝尽假货现进军京东方关注足球丫踢不出东亚买支股票大盘差点跌停前阵子一直关注非洲和中东局势复仇的同学尽快下单偶要转运就不准了否极泰来
anger,什么玩意啊这女的这是不怕人肉的意思么你以为在公安局上班就了不起了啊你就不下班啊你下班了不怕被堵截强暴啊丫操行
anger,小么小儿郎啊背着个书包上学堂老师兽性难改气得我想不开考试成绩连续挂科没有爹娘我快他妈说拜拜
anger,我勒个去了新浪你凭什么吞掉我的好几个人啊不高兴姐去睡了4点起来看球剩下的没到的懂我的心就得了这样拜年好累哦电话短信qq联系吧
